task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Backward pass #4,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.021152524277567863,1.0406090930021903e-08,4.933446466939428e-07,360.0,0.0,10.0,2.571557648479937e-06,0.0,7.135640415880396e-08,2.642914052638747e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #4,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0029275575652718544,1.1777785537512843e-09,4.007023031351963e-07,360.0,0.0,10.0,2.910926938056894e-07,0.0,8.036682589186423e-09,2.991293763948699e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #5,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.01483563520014286,4.301220925576973e-09,2.9073904652012715e-07,360.0,0.0,10.0,1.0629647411406097e-06,0.0,2.9449048452079407e-08,1.0924137895926874e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #5,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.021426819264888763,8.48592269592155e-09,3.982870327346426e-07,360.0,0.0,10.0,2.0970571786165274e-06,0.0,5.8177144577105806e-08,2.1552343231936294e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #5,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0035889269784092903,1.3729337913238189e-09,3.854319035435549e-07,360.0,0.0,10.0,3.393183462321723e-07,0.0,9.376090019941432e-09,3.4869443625211796e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #6,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.011025195010006428,1.0925622882330299e-08,9.912483422517057e-07,360.0,533.2182554984548,10.0,1.105347648262971e-06,1.638890203992105e-06,3.0625681392848435e-08,2.7748635336479193e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #6,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020990402437746525,8.410043577592142e-09,4.0249745407151323e-07,360.0,0.0,10.0,2.078322786837816e-06,0.0,5.76399396070175e-08,2.1359627264448347e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #6,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0034813545644283295,1.3773797004786166e-09,4.000877008607947e-07,360.0,0.0,10.0,3.404133953154026e-07,0.0,9.410202296243653e-09,3.498235976116522e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #7,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.01013151090592146,1.083575722446942e-08,1.0750036844204901e-06,360.0,616.1391392990497,10.0,1.0039649903774314e-06,1.7202791546822027e-06,2.779552402595673e-08,2.7520396690855926e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #7,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.02100912295281887,1.2335610613944224e-08,5.883704069319742e-07,360.0,0.0,10.0,3.0483731999993347e-06,0.0,8.459564091430755e-08,3.132968840913647e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #7,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.003154899924993515,1.342078321686548e-09,4.0659160480619874e-07,360.0,0.0,10.0,3.3169416710734814e-07,0.0,9.163670862714474e-09,3.4085783797006516e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #8,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.012813732028007507,4.065877836672869e-09,3.189236016090082e-07,360.0,0.0,10.0,1.004817895591253e-06,0.0,2.782401990973283e-08,1.0326419155009918e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #8,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020974173210561275,1.4068831723585109e-08,6.747469630245006e-07,360.0,249.15047129510046,10.0,2.0772068761289126e-06,1.4383344826285338e-06,5.7626828654772564e-08,3.5731681874122e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #8,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0031343093141913414,1.1903693749152993e-09,4.034568816728856e-07,360.0,0.0,10.0,2.942067570984425e-07,0.0,8.120405901637544e-09,3.02327163000072e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #9,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.013418901711702347,4.112920445609164e-09,3.0800200674441917e-07,360.0,0.0,10.0,1.0164270177483555e-06,0.0,2.816266690691298e-08,1.0445896846552846e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #9,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.02089508157223463,8.499655078623738e-09,4.0932111268734556e-07,360.0,0.0,10.0,2.1004543639719536e-06,0.0,5.826767689238012e-08,2.1587220408643426e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #9,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.0027165329083800316,1.0657658836110979e-09,3.998457733622893e-07,360.0,0.0,10.0,2.6341313496232375e-07,0.0,7.2675317318902286e-09,2.7068066669420085e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
