timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2026-02-21T23:34:53,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.310055916197598,2.9240400175845533e-05,9.430686095088308e-05,360.0,73.27268824295032,10.0,0.0062911782108247,0.0009605382683872,0.0001746903289937,0.0074264068082057,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N,1.0,0.0
2026-02-25T16:05:06,whisper,4dbc6c68-81f7-4ac4-bb21-f6ab6fd96525,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.553491985425353,3.0036817618448137e-05,5.426784562266994e-05,360.0,52.7191421140039,10.0,0.0064388321285136,0.0010110566421914,0.0001787902322158,0.0076286790029208,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N,1.0,0.0
2026-02-26T21:51:48,whisper,dd7fdf3d-1b5f-439d-9ecd-dc3f9ba3ae65,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3478245008736849,4.90200627387067e-05,0.00014093332302806555,360.0,102.60906627069936,10.0,0.009590796004235753,0.0025928631853417983,0.00026633894560962096,0.012449998135187166,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1.0,0.0
