task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #11,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04043113999068737,1.8574024684109468e-08,4.5763232060893167e-07,360.0,48.207352950508955,10.0,4.0607461705803865e-06,5.43889324688962e-07,1.1275081067449538e-07,4.717386305943833e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #12,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.03928049094974995,2.2001153564633657e-08,5.569626812613037e-07,360.0,137.2148924367188,10.0,3.965739812701938e-06,1.5119456548973176e-06,1.1011482371638203e-07,5.587800291315624e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #13,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04056580178439617,2.155345228326704e-08,5.257909123760341e-07,360.0,108.36542455097945,10.0,4.1194322519004436e-06,1.2402787668008841e-06,1.1438317338211686e-07,5.474094192083436e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #14,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.043409066274762154,1.7667877133306363e-08,4.0596987057564405e-07,360.0,0.0,10.0,4.36601201072334e-06,0.0,1.2123311041957802e-07,4.487245121142906e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #15,2026-02-21T23:33:09,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04274929594248533,1.753421073002842e-08,4.0772152567361447e-07,360.0,0.0,10.0,4.332981444895255e-06,0.0,1.2031540326360217e-07,4.453296848158867e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #16,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04309090133756399,2.422667473697235e-08,5.608436416005243e-07,360.0,141.44705628845702,10.0,4.33083148673177e-06,1.7019458020683942e-06,1.2025553991811183e-07,6.1530328287182664e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #17,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04287058860063553,1.7450208018915782e-08,4.0597202726984624e-07,360.0,0.0,10.0,4.312224313616749e-06,0.0,1.1973772715363235e-07,4.431962040770369e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #18,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.04191254172474146,2.21238233386679e-08,5.230624135944683e-07,360.0,106.01779819091433,10.0,4.249299131333831e-06,1.2516676690665918e-06,1.1798886633995543e-07,5.6189556667403905e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #19,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.03919322043657303,1.5995701735085268e-08,4.060483106226346e-07,360.0,0.0,10.0,3.9527885615825605e-06,0.0,1.097614566485089e-07,4.062550018231063e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #20,2026-02-21T23:33:10,whisper,49ae7762-fada-4b60-ae5c-ac9dd70b6f88,0.03925920184701681,1.6003274694939237e-08,4.062308394495815e-07,360.0,0.0,10.0,3.954665642231706e-06,0.0,1.0980773820645253e-07,4.064473380438168e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
