step,gpu_util,cpu_util,gpu_mem_gb,cpu_mem_gb,ram_gb,io_read_gb,io_write_gb
47,70,0.0,1.781334016,4.776513536,16.37238784,0.194289664,0.0
48,70,0.0,1.781334016,4.776361984,16.372355072,0.19820544,0.0
49,70,0.0,1.781334016,4.776095744,16.372097024,0.20211712,0.0
50,71,0.0,1.781334016,4.776697856,16.371838976,0.206032896,0.0
51,71,0.0,1.781334016,4.776218624,16.371838976,0.20989952,0.0
52,71,0.0,1.781334016,4.776292352,16.372035584,0.213827584,0.0
53,71,0.0,1.781334016,4.774690816,16.372035584,0.217686016,0.0
54,71,0.0,1.781334016,4.775809024,16.372035584,0.221601792,0.0
55,79,0.0,1.781334016,4.774977536,16.372293632,0.225570816,0.0
56,79,0.0,1.781334016,4.775600128,16.372809728,0.2294784,0.0
57,79,0.0,1.781334016,4.775391232,16.372809728,0.233365504,0.0
58,72,0.0,1.781334016,4.774121472,16.372809728,0.237248512,0.0
59,72,0.0,1.781334016,4.774641664,16.37277696,0.241160192,0.0
60,72,0.0,1.781334016,4.77417472,16.372486144,0.245010432,0.0
61,69,0.0,1.781334016,4.774080512,16.372228096,0.24897536,0.0
62,69,0.0,1.781334016,4.775272448,16.372228096,0.25286656,0.0
63,72,0.0,1.781334016,4.775317504,16.372228096,0.25677824,0.0
64,72,0.0,1.781334016,4.773490688,16.372166656,0.26068992,0.0
65,72,0.0,1.781334016,4.773597184,16.372166656,0.26456064,0.0
66,76,0.0,1.781334016,4.774989824,16.371908608,0.268505088,0.0
67,76,0.0,1.781334016,4.77497344,16.372363264,0.272396288,0.0
68,76,0.0,1.781334016,4.774199296,16.372072448,0.276242432,0.0
69,73,0.0,1.781334016,4.773941248,16.372072448,0.280076288,0.0
70,73,0.0,1.781334016,4.773814272,16.372072448,0.284004352,0.0
71,73,0.0,1.781334016,4.774490112,16.372072448,0.287870976,0.0
72,70,0.0,1.781334016,4.773552128,16.372072448,0.291770368,0.0
73,70,0.0,1.781334016,4.774305792,16.372072448,0.295620608,0.0
74,70,0.0,1.781334016,4.774199296,16.37203968,0.299487232,0.0
75,71,0.0,1.781334016,4.774125568,16.37203968,0.303403008,0.0
76,71,0.0,1.781334016,4.773134336,16.37203968,0.307277824,0.0
77,75,0.0,1.781334016,4.772458496,16.372555776,0.311123968,0.0
78,75,0.0,1.781334016,4.773163008,16.372494336,0.314986496,0.0
79,75,0.0,1.781334016,4.773855232,16.372494336,0.318767104,0.0
80,78,0.0,1.781334016,4.773404672,16.372719616,0.322633728,0.0
81,78,0.0,1.781334016,4.7736832,16.372719616,0.326483968,0.0
82,78,3319.7,1.781334016,4.773421056,16.372686848,0.330358784,0.0
83,72,0.0,1.781334016,4.77216768,16.372686848,0.334221312,0.0
84,72,0.0,1.781334016,4.773863424,16.3724288,0.338100224,0.0
85,72,0.0,1.781334016,4.77329408,16.3724288,0.342007808,0.0
86,72,3292.7,1.781334016,4.77364224,16.372686848,0.34588672,0.0
87,72,0.0,1.781334016,4.773322752,16.3724288,0.349761536,0.0
88,70,0.0,1.781334016,4.771315712,16.372396032,0.353673216,0.0
89,70,0.0,1.781334016,4.773310464,16.372396032,0.357511168,0.0
90,70,0.0,1.781334016,4.772872192,16.372396032,0.361394176,0.0
91,78,0.0,1.781334016,4.77212672,16.372137984,0.365232128,0.0
92,78,0.0,1.781334016,4.772777984,16.372137984,0.369156096,0.0
93,78,0.0,1.781334016,4.772933632,16.372850688,0.373018624,0.0
94,76,0.0,1.781334016,4.77251584,16.37281792,0.37691392,0.0
95,76,0.0,1.781334016,4.772519936,16.372559872,0.380760064,0.0
96,76,0.0,1.781334016,4.771602432,16.372498432,0.384589824,0.0
97,71,0.0,1.781334016,4.77175808,16.372498432,0.388489216,0.0
98,71,0.0,1.781334016,4.771926016,16.372498432,0.392318976,0.0
99,71,0.0,1.781334016,4.77227008,16.372498432,0.396169216,0.0
100,74,0.0,1.781334016,4.771434496,16.372465664,0.400089088,0.0
101,74,0.0,1.781334016,4.771110912,16.372723712,0.403922944,0.0
102,74,0.0,1.781334016,4.77138944,16.372723712,0.407814144,0.0
103,73,0.0,1.781334016,4.772155392,16.372723712,0.41168896,0.0
104,73,0.0,1.781334016,4.771995648,16.372723712,0.415592448,0.0
105,75,0.0,1.781334016,4.770807808,16.372723712,0.419418112,0.0
106,75,0.0,1.781334016,4.770807808,16.372723712,0.423325696,0.0
107,75,0.0,1.781334016,4.771074048,16.372723712,0.427143168,0.0
108,78,0.0,1.781334016,4.77165568,16.37298176,0.431054848,0.0
109,78,0.0,1.781334016,4.770643968,16.373178368,0.434905088,0.0
110,78,0.0,1.781334016,4.771377152,16.373178368,0.43880448,0.0
111,72,0.0,1.781334016,4.771094528,16.3731456,0.442630144,0.0
112,72,0.0,1.781334016,4.770803712,16.3731456,0.446570496,0.0
113,72,0.0,1.781334016,4.770992128,16.373112832,0.45047808,0.0
114,69,0.0,1.781334016,4.77095936,16.373112832,0.45432832,0.0
115,69,0.0,1.781334016,4.770304,16.373112832,0.458256384,0.0
116,70,0.0,1.781334016,4.769386496,16.373112832,0.46215168,0.0
117,70,0.0,1.781334016,4.770717696,16.373112832,0.466006016,0.0
118,70,0.0,1.781334016,4.769746944,16.372596736,0.469880832,0.0
119,79,0.0,1.781334016,4.769906688,16.372596736,0.473776128,0.0
120,79,0.0,1.781334016,4.769329152,16.372822016,0.477687808,0.0
121,79,0.0,1.781334016,4.770807808,16.37230592,0.481562624,0.0
122,77,0.0,1.781334016,4.769701888,16.3725312,0.485482496,0.0
123,77,0.0,1.781334016,4.770271232,16.3725312,0.489316352,0.0
124,77,0.0,1.781334016,4.7689728,16.3725312,0.49319936,0.0
125,72,0.0,1.781334016,4.769447936,16.372498432,0.497074176,0.0
126,72,0.0,1.781334016,4.769742848,16.372432896,0.500977664,0.0
127,72,0.0,1.781334016,4.770291712,16.372432896,0.50481152,0.0
128,73,0.0,1.781334016,4.770234368,16.3719168,0.508678144,0.0
129,73,0.0,1.781334016,4.768006144,16.371658752,0.51253248,0.0
130,73,0.0,1.781334016,4.769357824,16.371658752,0.516407296,0.0
131,74,0.0,1.781334016,4.769050624,16.371658752,0.520318976,0.0
132,74,0.0,1.781334016,4.76944384,16.371658752,0.524197888,0.0
133,72,0.0,1.781334016,4.768395264,16.371658752,0.528052224,0.0
134,72,0.0,1.781334016,4.768034816,16.371658752,0.531922944,0.0
135,72,0.0,1.781334016,4.769394688,16.371658752,0.53579776,0.0
136,79,0.0,1.781334016,4.769562624,16.371658752,0.53966848,0.0
137,79,0.0,1.781334016,4.769247232,16.371625984,0.543535104,0.0
138,79,0.0,1.781334016,4.768284672,16.371625984,0.547385344,0.0
139,73,0.0,1.781334016,4.769161216,16.371625984,0.55128064,0.0
140,73,0.0,1.781334016,4.769202176,16.371625984,0.555159552,0.0
141,73,0.0,1.781334016,4.767895552,16.371593216,0.558985216,0.0
142,72,0.0,1.781334016,4.767735808,16.371851264,0.562900992,0.0
143,72,0.0,1.781334016,4.768903168,16.372211712,0.56672256,0.0
144,72,0.0,1.781334016,4.768894976,16.37246976,0.570609664,0.0
145,73,0.0,1.781334016,4.768714752,16.372727808,0.574439424,0.0
146,73,0.0,1.781334016,4.768944128,16.372985856,0.578338816,0.0
147,73,0.0,1.781334016,4.767973376,16.372985856,0.58216448,0.0
148,71,0.0,1.781334016,4.768272384,16.372985856,0.586022912,0.0
149,71,0.0,1.781334016,4.768251904,16.372985856,0.589934592,0.0
150,79,0.0,1.781334016,4.768854016,16.372985856,0.593793024,0.0
151,79,0.0,1.781334016,4.767916032,16.372985856,0.5976064,0.0
152,79,0.0,1.781334016,4.768526336,16.372985856,0.601485312,0.0
153,72,0.0,1.781334016,4.7674368,16.372953088,0.605401088,0.0
154,72,0.0,1.781334016,4.768305152,16.372953088,0.609255424,0.0
155,72,0.0,1.781334016,4.768628736,16.37292032,0.613167104,0.0
156,73,0.0,1.781334016,4.767326208,16.37292032,0.617050112,0.0
157,73,0.0,1.781334016,4.768083968,16.37292032,0.620916736,0.0
158,73,0.0,1.781334016,4.768079872,16.372662272,0.62476288,0.0
159,73,0.0,1.781334016,4.766941184,16.372662272,0.628609024,0.0
160,73,0.0,1.781334016,4.767821824,16.372662272,0.632451072,0.0
161,73,0.0,1.781334016,4.766773248,16.372662272,0.63635456,0.0
162,75,0.0,1.781334016,4.766629888,16.372662272,0.640180224,0.0
163,75,0.0,1.781334016,4.76747776,16.372662272,0.644005888,0.0
164,79,0.0,1.781334016,4.7670272,16.37285888,0.64786432,0.0
165,79,0.0,1.781334016,4.76700672,16.372826112,0.651812864,0.0
166,79,0.0,1.781334016,4.766998528,16.372826112,0.655671296,0.0
167,74,0.0,1.781334016,4.76684288,16.37308416,0.659550208,0.0
168,74,0.0,1.781334016,4.76731392,16.373051392,0.663384064,0.0
169,74,0.0,1.781334016,4.766060544,16.373047296,0.667213824,0.0
170,72,0.0,1.781334016,4.766183424,16.373243904,0.67106816,0.0
171,72,0.0,1.781334016,4.765835264,16.372953088,0.674942976,0.0
172,72,0.0,1.781334016,4.766531584,16.372436992,0.6788096,0.0
173,74,0.0,1.781334016,4.766339072,16.372436992,0.682688512,0.0
174,74,0.0,1.781334016,4.766859264,16.372953088,0.686534656,0.0
175,74,0.0,1.781334016,4.766253056,16.372953088,0.690434048,0.0
176,72,0.0,1.781334016,4.766302208,16.372953088,0.694300672,0.0
177,72,0.0,1.781334016,4.766609408,16.372953088,0.698195968,0.0
178,78,0.0,1.781334016,4.76475392,16.37292032,0.702042112,0.0
179,78,3254.7,1.781334016,4.764954624,16.37292032,0.705900544,0.0
180,78,0.0,1.781334016,4.76598272,16.37292032,0.709730304,0.0
181,74,0.0,1.781334016,4.765216768,16.37292032,0.713633792,0.0
182,74,0.0,1.781334016,4.765294592,16.373116928,0.717459456,0.0
183,74,0.0,1.781334016,4.766306304,16.373116928,0.721342464,0.0
184,73,0.0,1.781334016,4.765773824,16.37308416,0.725172224,0.0
185,73,0.0,1.781334016,4.765683712,16.37308416,0.729063424,0.0
186,73,0.0,1.781334016,4.765519872,16.37308416,0.73291776,0.0
187,73,0.0,1.781334016,4.76553216,16.37308416,0.736743424,0.0
188,73,0.0,1.781334016,4.764581888,16.373051392,0.740630528,0.0
189,73,0.0,1.781334016,4.764741632,16.373051392,0.744456192,0.0
190,72,0.0,1.781334016,4.764848128,16.373051392,0.748326912,0.0
191,72,0.0,1.781334016,4.765741056,16.373051392,0.752164864,0.0
192,80,0.0,1.781334016,4.765704192,16.372760576,0.756011008,0.0
193,80,0.0,1.781334016,4.764901376,16.372502528,0.759902208,0.0
194,80,0.0,1.781334016,4.764672,16.372502528,0.763707392,0.0
195,56,0.0,1.781334016,4.765433856,16.371986432,0.767594496,0.0
196,56,0.0,1.781334016,4.764352512,16.371728384,0.771469312,0.0
197,56,0.0,1.781334016,4.764471296,16.371728384,0.775348224,0.0
198,75,0.0,1.781334016,4.764680192,16.371986432,0.779206656,0.0
199,75,0.0,1.781334016,4.764471296,16.371695616,0.78301184,0.0
200,75,0.0,1.781334016,4.764741632,16.371892224,0.786837504,0.0
201,75,0.0,1.781334016,4.764762112,16.37240832,0.790700032,0.0
202,75,0.0,1.781334016,4.76454912,16.3726336,0.794574848,0.0
203,69,0.0,1.781334016,4.765401088,16.373149696,0.798441472,0.0
204,69,0.0,1.781334016,4.763070464,16.3726336,0.802295808,0.0
205,69,0.0,1.781334016,4.76424192,16.373149696,0.80613376,0.0
206,73,0.0,1.781334016,4.763967488,16.373149696,0.809996288,0.0
207,73,0.0,1.781334016,4.762800128,16.373374976,0.813862912,0.0
208,73,0.0,1.781334016,4.763119616,16.373374976,0.817696768,0.0
209,73,0.0,1.781334016,4.763418624,16.373374976,0.8215552,0.0
210,73,0.0,1.781334016,4.764639232,16.373342208,0.82538496,0.0
211,79,0.0,1.781334016,4.762107904,16.373342208,0.82921472,0.0
212,79,0.0,1.781334016,4.764041216,16.37308416,0.833077248,0.0
213,79,0.0,1.781334016,4.762894336,16.37308416,0.836952064,0.0
214,74,0.0,1.781334016,4.762873856,16.37308416,0.840769536,0.0
215,74,0.0,1.781334016,4.762628096,16.373280768,0.844607488,0.0
216,74,0.0,1.781334016,4.76360704,16.373280768,0.848420864,0.0
217,75,0.0,1.781334016,4.76305408,16.37302272,0.852283392,0.0
218,75,3238.9,1.781334016,4.763189248,16.37302272,0.85614592,0.0
219,75,0.0,1.781334016,4.762423296,16.372957184,0.859987968,0.0
220,73,0.0,1.781334016,4.763123712,16.372957184,0.863793152,0.0
221,73,0.0,1.781334016,4.762935296,16.372957184,0.8676352,0.0
222,73,0.0,1.781334016,4.762042368,16.372957184,0.871501824,0.0
223,74,0.0,1.781334016,4.763250688,16.372957184,0.875331584,0.0
224,74,0.0,1.781334016,4.76295168,16.373215232,0.87918592,0.0
225,74,0.0,1.781334016,4.763086848,16.373182464,0.883007488,0.0
226,76,0.0,1.781334016,4.761698304,16.372924416,0.88684544,0.0
227,76,0.0,1.781334016,4.7619072,16.372924416,0.890683392,0.0
228,79,0.0,1.781334016,4.762001408,16.373182464,0.894509056,0.0
229,79,0.0,1.781334016,4.763070464,16.373182464,0.898322432,0.0
230,79,0.0,1.781334016,4.761341952,16.373379072,0.90216448,0.0
231,73,0.0,1.781334016,4.76178432,16.373055488,0.906031104,0.0
232,73,0.0,1.781334016,4.762783744,16.373055488,0.909873152,0.0
233,73,0.0,1.781334016,4.762554368,16.372764672,0.913772544,0.0
234,74,0.0,1.781334016,4.761591808,16.372506624,0.917671936,0.0
235,74,0.0,1.781334016,4.761341952,16.372506624,0.92147712,0.0
236,74,0.0,1.781334016,4.761669632,16.372248576,0.925319168,0.0
237,73,0.0,1.781334016,4.762525696,16.372248576,0.929128448,0.0
238,73,0.0,1.781334016,4.76203008,16.372764672,0.932929536,0.0
239,73,0.0,1.781334016,4.760948736,16.372731904,0.936738816,0.0
240,74,0.0,1.781334016,4.761657344,16.372731904,0.940560384,0.0
241,74,0.0,1.781334016,4.760899584,16.372731904,0.944377856,0.0
242,74,0.0,1.781334016,4.761116672,16.372731904,0.948195328,0.0
243,77,0.0,1.781334016,4.762329088,16.372731904,0.952049664,0.0
244,77,0.0,1.781334016,4.762120192,16.372731904,0.955830272,0.0
245,79,0.0,1.781334016,4.76114944,16.372412416,0.959746048,0.0
246,79,0.0,1.781334016,4.761198592,16.372412416,0.963592192,0.0
247,79,0.0,1.781334016,4.761464832,16.372154368,0.96745472,0.0
248,72,0.0,1.781334016,4.761452544,16.372867072,0.971280384,0.0
249,72,0.0,1.781334016,4.760383488,16.372867072,0.975167488,0.0
250,72,0.0,1.781334016,4.760715264,16.372867072,0.979009536,0.0
251,74,0.0,1.781334016,4.760715264,16.372867072,0.982867968,0.0
252,74,0.0,1.781334016,4.76131328,16.372834304,0.986673152,0.0
253,74,3137.3,1.781334016,4.760969216,16.372834304,0.990564352,0.0
254,74,0.0,1.781334016,4.761264128,16.372834304,0.994430976,0.0
255,74,0.0,1.781334016,4.759740416,16.372801536,0.998281216,0.0
256,74,0.0,1.781334016,4.761014272,16.372801536,1.002090496,0.0
257,72,0.0,1.781334016,4.761092096,16.372801536,1.005903872,0.0
258,72,0.0,1.781334016,4.760653824,16.372801536,1.00974592,0.0
259,79,0.0,1.781334016,4.759506944,16.372801536,1.013551104,0.0
260,79,0.0,1.781334016,4.759519232,16.372768768,1.017438208,0.0
261,79,0.0,1.781334016,4.759977984,16.373284864,1.021292544,0.0
262,74,0.0,1.781334016,4.760252416,16.373542912,1.02514688,0.0
263,74,0.0,1.781334016,4.76094464,16.373510144,1.028947968,0.0
264,74,0.0,1.781334016,4.761264128,16.373510144,1.032839168,0.0
265,71,0.0,1.781334016,4.760764416,16.373477376,1.036640256,0.0
266,71,0.0,1.781334016,4.76049408,16.373219328,1.040510976,0.0
267,71,0.0,1.781334016,4.75938816,16.373219328,1.044369408,0.0
268,72,0.0,1.781334016,4.760100864,16.373219328,1.048174592,0.0
269,72,0.0,1.781334016,4.760825856,16.373219328,1.052008448,0.0
270,72,0.0,1.781334016,4.760354816,16.373219328,1.055862784,0.0
271,76,0.0,1.781334016,4.759748608,16.373219328,1.05965568,0.0
272,76,0.0,1.781334016,4.760064,16.37296128,1.063489536,0.0
273,78,0.0,1.781334016,4.759965696,16.373157888,1.067347968,0.0
274,78,3263.2,1.781334016,4.759310336,16.372641792,1.071181824,0.0
275,78,0.0,1.781334016,4.759990272,16.372641792,1.074982912,0.0
276,74,0.0,1.781334016,4.75904,16.373096448,1.078861824,0.0
277,74,3168.0,1.781334016,4.759957504,16.373293056,1.08269568,0.0
278,74,0.0,1.781334016,4.759826432,16.373293056,1.086496768,0.0
279,74,0.0,1.781334016,4.759580672,16.37277696,1.090363392,0.0
280,74,0.0,1.781334016,4.759240704,16.372973568,1.094213632,0.0
281,74,0.0,1.781334016,4.759650304,16.372973568,1.09805568,0.0
282,72,3265.5,1.781334016,4.759678976,16.37271552,1.101938688,0.0
283,72,0.0,1.781334016,4.758454272,16.372457472,1.105772544,0.0
284,72,0.0,1.781334016,4.759207936,16.372199424,1.109639168,0.0
285,74,0.0,1.781334016,4.759781376,16.372199424,1.113440256,0.0
286,74,0.0,1.781334016,4.758093824,16.372199424,1.117298688,0.0
287,74,0.0,1.781334016,4.758528,16.372199424,1.121132544,0.0
288,80,0.0,1.781334016,4.75826176,16.37271552,1.125011456,0.0
289,80,3296.3,1.781334016,4.759035904,16.373137408,1.128820736,0.0
290,75,0.0,1.781334016,4.758622208,16.37287936,1.132654592,0.0
291,75,0.0,1.781334016,4.757987328,16.37310464,1.136488448,0.0
292,75,0.0,1.781334016,4.757786624,16.373071872,1.140371456,0.0
293,74,0.0,1.781334016,4.75875328,16.373071872,1.14423808,0.0
294,74,0.0,1.781334016,4.75830272,16.372813824,1.14808832,0.0
295,74,0.0,1.781334016,4.759003136,16.372813824,1.151885312,0.0
296,75,0.0,1.781334016,4.757839872,16.372555776,1.155719168,0.0
297,75,0.0,1.781334016,4.75758592,16.372555776,1.159553024,0.0
298,75,0.0,1.781334016,4.758192128,16.372555776,1.16338688,0.0
299,75,0.0,1.781334016,4.758048768,16.372297728,1.16723712,0.0
300,75,0.0,1.781334016,4.75779072,16.37203968,1.171120128,0.0
301,75,0.0,1.781334016,4.758470656,16.37203968,1.174970368,0.0
302,76,0.0,1.781334016,4.756754432,16.37203968,1.178804224,0.0
303,76,0.0,1.781334016,4.757950464,16.372555776,1.18263808,0.0
304,79,0.0,1.781334016,4.75813888,16.372748288,1.186500608,0.0
305,79,0.0,1.781334016,4.75777024,16.371912704,1.190367232,0.0
306,79,0.0,1.781334016,4.75652096,16.371912704,1.19422976,0.0
307,72,0.0,1.781334016,4.75660288,16.372170752,1.198030848,0.0
308,72,0.0,1.781334016,4.757233664,16.372170752,1.201885184,0.0
309,72,0.0,1.781334016,4.756434944,16.372137984,1.20571904,0.0
310,74,0.0,1.781334016,4.757438464,16.37265408,1.209626624,0.0
311,74,0.0,1.781334016,4.758122496,16.37265408,1.213476864,0.0
312,74,0.0,1.781334016,4.75762688,16.372912128,1.217294336,0.0
313,74,0.0,1.781334016,4.756455424,16.372912128,1.221173248,0.0
314,74,0.0,1.781334016,4.757475328,16.373170176,1.225039872,0.0
315,74,0.0,1.781334016,4.756054016,16.373170176,1.228873728,0.0
316,73,0.0,1.781334016,4.756676608,16.373137408,1.232707584,0.0
317,73,0.0,1.781334016,4.756262912,16.373137408,1.236508672,0.0
318,73,0.0,1.781334016,4.756504576,16.372621312,1.240375296,0.0
319,80,0.0,1.781334016,4.755841024,16.372621312,1.244209152,0.0
320,80,0.0,1.781334016,4.756250624,16.37287936,1.248043008,0.0
321,74,0.0,1.781334016,4.756537344,16.372363264,1.251844096,0.0
322,74,0.0,1.781334016,4.755423232,16.372363264,1.255677952,0.0
323,74,0.0,1.781334016,4.755124224,16.372559872,1.25956096,0.0
324,73,0.0,1.781334016,4.754980864,16.372559872,1.263427584,0.0
325,73,0.0,1.781334016,4.755447808,16.372559872,1.267228672,0.0
326,73,0.0,1.781334016,4.755132416,16.372527104,1.271087104,0.0
327,74,0.0,1.781334016,4.755857408,16.372527104,1.274953728,0.0
328,74,0.0,1.781334016,4.754948096,16.372527104,1.278787584,0.0
329,74,0.0,1.781334016,4.755042304,16.372752384,1.28268288,0.0
330,74,0.0,1.781334016,4.75502592,16.373010432,1.286545408,0.0
331,74,0.0,1.781334016,4.755832832,16.373010432,1.290346496,0.0
332,74,0.0,1.781334016,4.755857408,16.373010432,1.294180352,0.0
333,80,0.0,1.781334016,4.754624512,16.372977664,1.298014208,0.0
334,80,0.0,1.781334016,4.755750912,16.372977664,1.301839872,0.0
335,76,0.0,1.781334016,4.754735104,16.37349376,1.305731072,0.0
336,76,0.0,1.781334016,4.754812928,16.37349376,1.309564928,0.0
337,76,0.0,1.781334016,4.754415616,16.373751808,1.313366016,0.0
338,73,0.0,1.781334016,4.754026496,16.373977088,1.317199872,0.0
339,73,0.0,1.781334016,4.75428864,16.3736576,1.321033728,0.0
340,73,0.0,1.781334016,4.753248256,16.373624832,1.324834816,0.0
341,75,0.0,1.781334016,4.755034112,16.373624832,1.328668672,0.0
342,75,0.0,1.781334016,4.754796544,16.373366784,1.3325312,0.0
343,75,0.0,1.781334016,4.754419712,16.37259264,1.336365056,0.0
344,74,0.0,1.781334016,4.753985536,16.372559872,1.340198912,0.0
345,74,3218.9,1.781334016,4.753485824,16.372559872,1.34406144,0.0
346,74,0.0,1.781334016,4.753014784,16.372498432,1.347895296,0.0
347,77,0.0,1.781334016,4.75455488,16.372498432,1.35172096,0.0
348,77,0.0,1.781334016,4.75480064,16.372498432,1.355554816,0.0
349,78,0.0,1.781334016,4.753440768,16.372498432,1.35942144,0.0
350,78,0.0,1.781334016,4.754272256,16.372498432,1.363275776,0.0
351,78,0.0,1.781334016,4.752277504,16.372498432,1.367138304,0.0
352,73,0.0,1.781334016,4.754251776,16.372498432,1.37097216,0.0
353,73,0.0,1.781334016,4.752351232,16.372723712,1.374806016,0.0
354,73,0.0,1.781334016,4.7538176,16.373239808,1.378668544,0.0
355,75,0.0,1.781334016,4.753883136,16.37298176,1.38252288,0.0
356,75,0.0,1.781334016,4.75357184,16.37298176,1.38637312,0.0
357,75,0.0,1.781334016,4.754141184,16.37298176,1.390174208,0.0
358,73,0.0,1.781334016,4.75328512,16.372948992,1.3940736,0.0
359,73,0.0,1.781334016,4.753424384,16.372948992,1.397907456,0.0
360,73,0.0,1.781334016,4.75301888,16.372948992,1.401741312,0.0
361,74,0.0,1.781334016,4.753416192,16.373112832,1.405558784,0.0
362,74,0.0,1.781334016,4.752519168,16.373112832,1.409409024,0.0
363,74,0.0,1.781334016,4.753895424,16.373112832,1.41326336,0.0
364,80,0.0,1.781334016,4.7536128,16.372854784,1.417097216,0.0
365,80,0.0,1.781334016,4.752642048,16.372854784,1.42096384,0.0
366,72,0.0,1.781334016,4.753371136,16.372596736,1.424797696,0.0
367,72,0.0,1.781334016,4.753567744,16.372535296,1.428598784,0.0
368,72,0.0,1.781334016,4.752883712,16.372793344,1.43243264,0.0
369,74,0.0,1.781334016,4.752969728,16.372793344,1.436291072,0.0
370,74,0.0,1.781334016,4.752719872,16.372215808,1.44009216,0.0
371,74,0.0,1.781334016,4.753158144,16.372731904,1.44400384,0.0
372,73,0.0,1.781334016,4.753190912,16.372473856,1.447837696,0.0
373,73,0.0,1.781334016,4.752347136,16.372473856,1.451671552,0.0
374,73,0.0,1.781334016,4.752887808,16.372957184,1.455505408,0.0
375,75,0.0,1.781334016,4.751847424,16.372957184,1.459339264,0.0
376,75,0.0,1.781334016,4.75252736,16.372957184,1.46317312,0.0
377,75,0.0,1.781334016,4.752560128,16.372957184,1.467031552,0.0
378,80,0.0,1.781334016,4.751556608,16.372957184,1.47083264,0.0
379,80,0.0,1.781334016,4.752195584,16.372699136,1.474691072,0.0
380,74,0.0,1.781334016,4.752416768,16.372699136,1.47849216,0.0
381,74,0.0,1.781334016,4.752044032,16.372441088,1.482350592,0.0
382,74,0.0,1.781334016,4.752740352,16.372441088,1.486184448,0.0
383,74,0.0,1.781334016,4.75076608,16.372441088,1.49004288,0.0
384,74,0.0,1.781334016,4.751998976,16.372637696,1.493876736,0.0
385,74,0.0,1.781334016,4.752297984,16.373579776,1.497710592,0.0
